date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:17	1493947/1493947	---M-Z	200	added ('OK')	text/html	etag:%2285551b004515043410125d7ff1a5cf29%22	https://brandaid.co/	C:/Users/marco/Downloads/slamb/brandaid.co/index.html	(from )
14:23:17	89/89	---M-Z	200	added ('OK')	text/plain	etag:%22f006c28be721271b22240c467e104c24%22	https://brandaid.co/robots.txt		(from )
14:23:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2015%20Jan%202026%2020:23:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/marco/Downloads/slamb/www.googletagmanager.com/gtm.05445.delayed	(from https://brandaid.co/)
14:23:18	367206/367206	---MC-	200	added ('OK')	image/png	etag:%222a1c42f6b45d628d16d1fe253468e22b%22	https://framerusercontent.com/images/FTyTW6O9ostXpJKLLaQqjVUA.png	C:/Users/marco/Downloads/slamb/framerusercontent.com/images/FTyTW6O9ostXpJKLLaQqjVUA.png	(from https://brandaid.co/)
14:23:19	1163071/1163071	---M-Z	200	added ('OK')	text/html	etag:%221e68085ca1050358bad197c15fba78cc%22	https://brandaid.co/about	C:/Users/marco/Downloads/slamb/brandaid.co/about.html	(from https://brandaid.co/)
14:23:20	2714531/2714531	---M-Z	200	added ('OK')	text/html	etag:%2230b6a9b3fcca1f196eaf127b62ea349b%22	https://brandaid.co/blog	C:/Users/marco/Downloads/slamb/brandaid.co/blog.html	(from https://brandaid.co/)
14:23:20	995829/995829	---M-Z	200	added ('OK')	text/html	etag:%223d0cbf488345ccb6b1ea1df5a0d57782%22	https://brandaid.co/shop	C:/Users/marco/Downloads/slamb/brandaid.co/shop.html	(from https://brandaid.co/)
14:23:21	522539/522539	---M-Z	200	added ('OK')	text/html	etag:%22d83d92a38ef4a7031e72bee0fe909e55%22	https://brandaid.co/contact	C:/Users/marco/Downloads/slamb/brandaid.co/contact.html	(from https://brandaid.co/)
14:23:21	687517/687517	---MC-	200	added ('OK')	image/gif	etag:%22fb183e02c719580b0d6bb7ef54db5c45%22	https://framerusercontent.com/images/e47z23Syq0BRHwBimx3NhBLbw.gif?width=3002&height=2563	C:/Users/marco/Downloads/slamb/framerusercontent.com/images/e47z23Syq0BRHwBimx3NhBLbw92af.gif	(from https://brandaid.co/)
14:23:21	4120262/4120262	---MC-	200	added ('OK')	image/jpeg	etag:%22cef2d68983b8fc3590c6a1c816039c7f%22	https://framerusercontent.com/images/HiRnn9QGfg86LiJlRrN5ECdwJMo.jpeg	C:/Users/marco/Downloads/slamb/framerusercontent.com/images/HiRnn9QGfg86LiJlRrN5ECdwJMo.jpg	(from https://brandaid.co/)
14:23:21	431104/431104	---MC-	200	added ('OK')	image/png	etag:%22e0e14bc8f3b8bec6d14fe54151f77a80%22	https://framerusercontent.com/images/0cYk0gpMsfHaC9HkHzVplTB1MDo.png	C:/Users/marco/Downloads/slamb/framerusercontent.com/images/0cYk0gpMsfHaC9HkHzVplTB1MDo.png	(from https://brandaid.co/)
14:23:22	218974/218974	---MC-	200	added ('OK')	image/png	etag:%22f7f08795088867533982452d207adcd3%22	https://framerusercontent.com/images/iVTV2SvdmAkV186Xzbx4HOiVbc.png	C:/Users/marco/Downloads/slamb/framerusercontent.com/images/iVTV2SvdmAkV186Xzbx4HOiVbc.png	(from https://brandaid.co/)
